"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft"
"2325",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5274,12,NA,"A5","96 DAVID STREET"," ",10308," 1 "," -   "," 1 "," 2,500 "," 1,184 ",1960,1,"A5"," $350,000 ","11/9/16",350000,1184,2500
"2326",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5275,13,NA,"A2","92 DRIGGS STREET"," ",10308," 1 "," -   "," 1 "," 6,120 "," 1,008 ",1930,1,"A2"," $340,000 ","9/7/16",340000,1008,6120
"2327",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5275,37,NA,"A6","72 WIMAN AVENUE"," ",10308," 1 "," -   "," 1 "," 3,042 "," 600 ",1920,1,"A6"," $270,000 ","6/1/16",270000,600,3042
"2328",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5275,99,NA,"A5","37 OSBORN AVENUE"," ",10308," 1 "," -   "," 1 "," 2,900 "," 1,340 ",1990,1,"A5"," $-   ","2/4/16",NA,1340,2900
"2329",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5276,4,NA,"A5","42 RUSSELL STREET"," ",10308," 1 "," -   "," 1 "," 2,500 "," 1,520 ",1999,1,"A5"," $-   ","2/9/16",NA,1520,2500
"2330",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5278,14,NA,"A2","148 DAVID STREET"," ",10308," 1 "," -   "," 1 "," 4,200 "," 1,222 ",1940,1,"A2"," $-   ","11/24/16",NA,1222,4200
"2331",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5279,8,NA,"A5","154 DRIGGS STREET"," ",10308," 1 "," -   "," 1 "," 2,000 "," 1,104 ",1965,1,"A5"," $395,000 ","9/28/16",395000,1104,2000
"2332",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5280,5,NA,"A2","142 KING STREET"," ",10308," 1 "," -   "," 1 "," 6,466 "," 960 ",1955,1,"A2"," $460,000 ","4/22/16",460000,960,6466
"2333",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5281,7,NA,"A5","114 RUSSELL STREET"," ",10308," 1 "," -   "," 1 "," 3,000 "," 1,280 ",1965,1,"A5"," $475,000 ","11/29/16",475000,1280,3000
"2334",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5281,14,NA,"A2","100 RUSSELL STREET"," ",10308," 1 "," -   "," 1 "," 3,000 "," 920 ",1930,1,"A2"," $419,000 ","10/31/16",419000,920,3000
"2335",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5282,55,NA,"A2","28 WILLIAM AVENUE"," ",10308," 1 "," -   "," 1 "," 3,320 "," 1,144 ",1955,1,"A2"," $360,000 ","4/4/16",360000,1144,3320
"2336",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5282,138,NA,"A2","249 ARMSTRONG AVENUE"," ",10308," 1 "," -   "," 1 "," 2,560 "," 720 ",1955,1,"A2"," $399,800 ","8/31/16",399800,720,2560
"2337",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5283,16,NA,"A2","236 ARMSTRONG AVENUE"," ",10308," 1 "," -   "," 1 "," 4,500 "," 1,040 ",1955,1,"A2"," $77,000 ","4/8/16",77000,1040,4500
"2338",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5283,18,NA,"A2","232 ARMSTRONG AVENUE"," ",10308," 1 "," -   "," 1 "," 5,400 "," 780 ",1955,1,"A2"," $430,000 ","1/18/17",430000,780,5400
"2339",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5287,50,NA,"A1","23 PACIFIC AVENUE"," ",10312," 1 "," -   "," 1 "," 5,103 "," 1,748 ",1940,1,"A1"," $-   ","12/12/16",NA,1748,5103
"2340",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5287,64,NA,"A2","161 BEACH ROAD"," ",10312," 1 "," -   "," 1 "," 4,750 "," 722 ",1940,1,"A2"," $-   ","4/5/16",NA,722,4750
"2341",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5292,25,NA,"A1","134 THORNYCROFT AVENUE"," ",10312," 1 "," -   "," 1 "," 3,600 "," 2,000 ",1955,1,"A1"," $-   ","5/20/16",NA,2000,3600
"2342",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5292,59,NA,"A2","155 WINCHESTER AVENUE"," ",10312," 1 "," -   "," 1 "," 4,500 "," 1,160 ",1955,1,"A2"," $355,000 ","3/4/16",355000,1160,4500
"2343",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5293,4,NA,"A2","71 RIDGECREST AVENUE"," ",10312," 1 "," -   "," 1 "," 8,500 "," 1,043 ",1945,1,"A2"," $400,000 ","4/15/16",4e+05,1043,8500
"2344",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5294,22,NA,"A1","4173 RICHMOND AVENUE"," ",10312," 1 "," -   "," 1 "," 3,854 "," 2,080 ",1965,1,"A1"," $-   ","9/28/16",NA,2080,3854
"2345",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5294,51,NA,"A2","126 RIDGECREST AVENUE"," ",10312," 1 "," -   "," 1 "," 4,500 "," 1,264 ",1940,1,"A1"," $10 ","9/22/16",10,1264,4500
"2346",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5294,54,NA,"A5","122 RIDGECREST AVENUE"," ",10312," 1 "," -   "," 1 "," 2,862 "," 1,080 ",1960,1,"A5"," $470,000 ","10/3/16",470000,1080,2862
"2347",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5295,1,NA,"A1","355 KING STREET"," ",10312," 1 "," -   "," 1 "," 4,000 "," 1,928 ",1950,1,"A1"," $-   ","8/29/16",NA,1928,4000
"2348",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5295,1,NA,"A1","355 KING STREET"," ",10312," 1 "," -   "," 1 "," 4,000 "," 1,928 ",1950,1,"A1"," $-   ","5/3/16",NA,1928,4000
"2349",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5295,20,NA,"A2","6 HILLTOP ROAD"," ",10312," 1 "," -   "," 1 "," 7,875 "," 1,000 ",1965,1,"A2"," $10 ","1/10/17",10,1000,7875
"2350",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5295,32,NA,"A1","70 RIDGECREST AVENUE"," ",10312," 1 "," -   "," 1 "," 3,150 "," 1,156 ",1965,1,"A1"," $476,500 ","8/12/16",476500,1156,3150
"2351",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5296,45,NA,"A1","150 WINCHESTER AVENUE"," ",10312," 1 "," -   "," 1 "," 5,000 "," 1,404 ",1940,1,"A1"," $470,000 ","8/10/16",470000,1404,5000
"2352",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5296,45,NA,"A1","150 WINCHESTER AVENUE"," ",10312," 1 "," -   "," 1 "," 5,000 "," 1,404 ",1940,1,"A1"," $470,000 ","8/10/16",470000,1404,5000
